"algorithm","n","trial","time_ms","comparisons","allocations","depth"
"MergeSort","1000","1","1","8716","0","9"
"MergeSort","1000","2","0","8705","0","9"
"MergeSort","1000","3","0","8727","0","9"
"MergeSort","1000","4","0","8683","0","9"
"MergeSort","1000","5","0","8737","0","9"
"QuickSort","1000","1","1","8144","0","24"
"QuickSort","1000","2","0","6832","0","18"
"QuickSort","1000","3","0","8108","0","21"
"QuickSort","1000","4","0","7036","0","18"
"QuickSort","1000","5","0","7174","0","19"
"DeterministicSelect","1000","1","4","0","0","11"
"DeterministicSelect","1000","2","0","0","0","10"
"DeterministicSelect","1000","3","0","0","0","8"
"DeterministicSelect","1000","4","0","0","0","9"
"DeterministicSelect","1000","5","0","0","0","8"
"ClosestPair","1000","1","44","0","0","9"
"ClosestPair","1000","2","9","0","0","9"
"ClosestPair","1000","3","7","0","0","9"
"ClosestPair","1000","4","6","0","0","9"
"ClosestPair","1000","5","6","0","0","9"
